16500000139,BYXF16220369,0000000254000721
16500000168,BYXF16220371,0000000254000722
16500000132,BYXF16220985,0000000256000032
16500000211,BYXF16220991,0000000280830541
16500000255,BYXF16223903,0000000256500018
16500000310,BYXF16224446,0000000260000101
16500000474,BYXF16225292,0000000260000267
16500000307,BYXF16224100,0000000256600015
16500000279,BYXF16224289,0000000260000069
16500000411,BYXF16224515,0000000260000872
16500000476,BYXF16225293,0000000260000268
16500000462,BYXF16225164,0000000260000854
16500000014,BYXF16220221,0000000260001063
16500000013,BYXF16220219,0000000260001066
